I'm 19.	J'ai 19 ans.
You're very generous.	Tu es fort généreuse.
You're very timid.	Vous êtes très craintive.
You're disloyal.	Vous êtes déloyale.
I'm not in the office today.	Je ne suis pas au bureau aujourd'hui.
You're not fast enough.	Vous n'êtes pas assez rapide.
You're a wonderful friend.	Vous êtes une merveilleuse amie.
She is watering the flowers.	Elle est en train d'arroser les fleurs.
We're all hungry.	Nous avons tous faim.
You are beautiful.	Tu es beau.
He's kind of handsome.	Il est plutôt beau.
I'm older than your brother.	Je suis plus vieux que ton frère.
You're wasting both of our time.	Tu gaspilles notre temps à tous les deux.
I'm not gonna do anything about it.	Je ne vais rien y faire.
He's already married.	Il est déjà marié.
She is certain to be surprised.	Elle est assurée d'être surprise.
You're looking very well.	Tu as l'air très bien.
They're going to make mistakes.	Elles vont commettre des erreurs.
She is collecting material for a book.	Elle rassemble du matériel pour un livre.
I'm feeling fine now.	Maintenant je me sens bien.
You're so beautiful in that dress.	Tu es tellement belle dans cette robe !
She's a very nice girl.	C'est une très gentille fille.
You're not very funny.	Vous n'êtes pas très amusante.
I am married and have two children.	Je suis mariée et j'ai deux enfants.
You're very clever.	Tu es fort ingénieuse.
I'm giving it back.	Je le rends.
We're still vulnerable.	Nous sommes encore vulnérables.
He is afraid of his father.	Il a peur de son père.
You're not normal.	Vous n'êtes pas normal.
He is still in bed.	Il est encore au lit.
You're new here, aren't you?	Vous êtes nouveau ici, n'est-ce pas ?
I'm glad you're my friend.	Je me réjouis que tu sois mon amie.
I'm happy, too.	Je suis heureuse, moi aussi.
I'm not scared of you anymore.	Je n'ai plus peur de vous.
I'm feeling good.	Je me sens bien.
I'm glad to see you again.	Je suis content de vous revoir.
I'm still working on it.	J'y travaille encore.
You are such a liar!	Tu es un de ces menteurs !
I'm not very busy.	Je ne suis pas très occupée.
He is here!	Il est ici !
We're a bit late.	Nous sommes un peu en retard.
We are looking forward to seeing you again.	Nous nous réjouissons de vous revoir.
You are in my way.	Vous êtes sur mon chemin.
I'm sorry to bother you so often.	Je suis désolée de t'ennuyer si souvent.
You're my only real friend.	Vous êtes mon seul véritable ami.
You're sleepy.	Vous êtes endormi.
They're just students.	Ce sont juste des étudiants.
I'm glad you're early.	Je suis content que tu sois en avance.
She's dependent on her husband.	Elle dépend de son époux.
You're doing it right.	Tu le fais comme il faut.
I'm a Japanese teacher.	Je suis un professeur de japonais.
You are taller than me.	Vous êtes plus grande que moi.
You are always complaining.	Vous vous plaignez toujours.
You're too old for me.	Vous êtes trop vieux pour moi.
I'm not interested in your opinion.	Je ne suis pas intéressé par ton opinion.
They're not evil.	Ils ne sont pas mauvais.
He is not what he used to be.	Il n'est plus ce qu'il était.
We're not going to make it.	Nous n'allons pas y arriver.
I'm the second oldest of three children.	Je suis le second de trois enfants.
She is quiet.	Elle est tranquille.
You're in luck.	Vous êtes veinardes.
You're the pro.	C'est toi le professionnel.
He is impatient to see you.	Il est impatient de te voir.
I'm glad to see you here.	Je suis contente de te voir ici.
I'm sure we can work this out.	Je suis sûre que nous pouvons arranger cela.
I'm not tired.	Je ne suis pas fatigué.
I'm glad you brought this up.	Je suis heureux que vous ayez mentionné cela.
I'm surprised to see you.	Je suis étonné de te voir.
I'm doing this for you.	Je le fais pour vous.
You're not cooperating.	Vous ne coopérez pas.
I'm free today.	Je suis libre aujourd'hui.
I'm rather busy.	Je suis plutôt occupée.
I'm ready if you are.	Je suis prêt si vous l'êtes.
You're very lonely.	Vous êtes fort solitaires.
He's fresh out of college.	Il est frais émoulu de l'université.
He's drunk.	Il est soûl.
He's not a liar.	Ce n'est pas un menteur.
I'm sorry if I embarrassed you.	Je suis désolé si je t'ai embarrassé.
She is very intelligent.	Elle est vraiment intelligente.
She is mad at you.	Elle est en colère après vous.
I'm feeling fine now.	Je vais bien maintenant.
She is a very intelligent young lady.	C'est une jeune femme très intelligente.
You are responsible for what you do.	Vous êtes responsable de ce que vous faites.
You're very upset.	Vous êtes très contrarié.
I'm tired of dancing.	Je suis fatigué de danser.
We're all going home.	Nous allons tous à la maison.
You're completely right.	Tu as parfaitement raison.
We're always hungry.	Nous avons toujours faim.
I'm not from here.	Je ne suis pas d'ici.
You're very sophisticated.	Tu es fort élégant.
I'm not here.	Je ne suis pas ici.
They're asleep.	Ils sont endormis.
I'm sorry, but I don't understand.	Je suis désolée mais je ne comprends pas.
You are twice as strong as me.	Vous êtes deux fois plus fort que moi.
She is proud of her students.	Elle est fière de ses élèves.
He is a tennis player.	C'est un joueur de tennis.
I am undressing.	Je me dévêts.
They're coming for me.	Ils viennent pour moi.
You're impressed, aren't you?	Vous êtes impressionnés, n'est-ce pas ?
I'm very happy now.	Maintenant, je suis très heureuse.
They're not here yet.	Elles ne sont pas encore là.
He's my best friend.	Il est mon meilleur ami.
I'm glad I invited you.	Je suis heureuse de vous avoir invité.
I'm seeing you in a new light.	Je te vois sous un nouveau jour.
He's probably wrong.	Il a probablement tort.
I'm used to working all night.	Je suis habitué à travailler toute la nuit.
I'm glad to hear that.	Je me réjouis de l'entendre.
You are important.	Tu es important.
You're very intelligent.	Vous êtes très intelligents.
I am no longer tired.	Je ne suis plus fatigué.
They're early.	Ils sont en avance.
I'm smarter than you.	Je suis plus vive que toi.
You're very generous.	Vous êtes très généreux.
I'm a little bit hungry.	J'ai un petit peu faim.
She's two years older than him.	Elle a deux ans de plus que lui.
You're very sophisticated.	Vous êtes fort élégante.
You're the greatest.	Vous êtes le meilleur.
I'm retired, too.	Je suis également pensionnée.
You're all the same.	Vous êtes tous pareils.
We are traveling on a tight budget.	Nous voyageons à petit budget.
He's afraid of making mistakes.	Il a peur de faire des erreurs.
I am not a teacher.	Je ne suis pas un enseignant.
I am waiting for the store to open.	J'attends que le magasin ouvre.
I'm feeling better.	Je vais mieux.
You're courteous.	Vous êtes courtoise.
We're leaving here.	Nous partons d'ici.
You're the teacher.	C'est vous l'instituteur.
You're the teacher.	Vous êtes la professeur.
I'm sorry if I disturbed you.	Je suis désolé si je vous ai dérangée.
We're about ready.	Nous sommes pour ainsi dire prêtes.
I'm not ready.	Je ne suis pas prêt.
You're welcome.	Je t'en prie.
You aren't as short as I am.	Tu n'es pas aussi petite que moi.
We're back early.	Nous sommes de retour tôt.
She is interested in learning new ideas.	Elle est intéressée à apprendre de nouvelles idées.
I'm thinking of having dinner at 5.	Je pense dîner à 5 heures.
You're in danger, Tom.	Vous êtes en danger, Tom.
I'm not going outside.	Je ne sors pas.
You're probably tired.	Vous êtes probablement fatiguées.
I'm glad that makes you happy.	Je suis content que ça vous rende heureux.
You're very good.	Vous êtes fort bons.
You're very observant.	Tu es très observatrice.
I'm just trying to help.	J'essaie juste d'aider.
You're very generous.	Vous êtes fort généreuse.
We're out of ammo.	Nous sommes à court de munitions.
I'm done with you.	J'en ai fini de toi.
I'm really angry right now.	Je suis vraiment en colère, là.
I'm not done yet.	Je n'en ai pas encore fini.
They're coming for me.	Elles viennent pour moi.
You're too young to marry.	Tu es trop jeune pour te marier.
I'm really proud of it.	J'en suis vraiment fier.
You're talented.	Tu es talentueux.
I'm glad you're my friend.	Je me réjouis que vous soyez mon amie.
You're very funny.	Vous êtes très marrant.
He's very talented.	Il est très talentueux.
You're going too fast.	Vous allez trop vite.
He's not a bad boy.	Ce n'est pas un mauvais garçon.
You're the oldest.	C'est toi le doyen.
I'm happy to see you here.	Je suis heureux de vous voir ici.
You're skinny.	Vous êtes maigrichon.
I'm still not sure.	Je ne suis toujours pas sûre.
We're not entirely sure.	Nous n'en sommes pas entièrement sûres.
I'm proud of my brother.	Je suis fière de mon frère.
I'm very proud of my son.	Je suis très fier de mon fils.
I'm having a hard time concentrating.	J'ai du mal à me concentrer.
I'm thinking of learning Korean next semester.	Je pense apprendre le coréen le semestre prochain.
I'm too old for Tom.	Je suis trop vieux pour Tom.
We are on the way home.	Nous sommes sur le chemin de la maison.
They're about to leave.	Elles sont sur le point de partir.
You're one of them, aren't you?	Vous en faites partie, n'est-ce pas ?
They're two very different things.	Ce sont deux choses absolument différentes.
I'm going to tell everybody.	Je vais le dire à tout le monde.
We're so glad to have you here.	Nous sommes tellement contentes de vous avoir ici !
You're very attractive.	Vous êtes fort attirante.
You're such a liar.	Vous êtes un sacré menteur.
I'm proud of my school.	Je suis fier de mon école.
I'm too old for you.	Je suis trop vieux pour vous.
They're stalling.	Elles sont en train de gagner du temps.
You're impressed, aren't you?	Vous êtes impressionné, n'est-ce pas ?
We're not ready.	Nous ne sommes pas prêtes.
I'm just as confused as you are.	Je suis aussi perplexe que vous l'êtes.
I'm looking for an old man.	Je cherche un vieil homme.
You're very timid.	Tu es très craintif.
I'm no one's girlfriend.	Je suis la petite amie de personne.
You're sick!	Tu es malade!
You are as tall as my sister.	Tu es aussi grande que ma sœur.
They're in the garden.	Elles sont au jardin.
We're all after the same thing.	Nous sommes tous après la même chose.
You're all happy.	Vous êtes tous heureux.
I'm not really that old.	Je ne suis pas vraiment aussi vieille.
You're powerful.	Vous êtes puissante.
You're not one of us.	Vous n'êtes pas des nôtres.
He is now on his own.	Il est désormais à son compte.
We're nearly finished.	Nous en avons presque terminé.
She is gaining weight.	Elle prend du poids.
We're not happy.	Nous ne sommes pas heureuses.
We are not alone.	Nous ne sommes pas seuls.
I'm looking for a house.	Je recherche une maison.
You're no different.	Tu n'es pas différente.
She's loved by her friends.	Elle est aimée de ses amies.
We're so glad to have you here.	Nous sommes tellement contents de vous avoir ici !
You're very good.	Tu es très bonne.
I'm all for that.	Je suis tout à fait pour.
I'm looking forward to seeing you soon.	Je suis impatiente de te voir bientôt.
He's not available.	Il est indisponible.
You are too sensitive to criticism.	Vous êtes trop sensible à la critique.
They're dying.	Ils sont en train de mourir.
I'm an actress, not a model.	Je suis actrice, non mannequin.
I'm going to do some shopping.	Je veux aller faire des courses.
We're not really brothers.	Nous ne sommes pas vraiment frères.
We're both insane.	Nous sommes toutes deux folles.
I am not on call tomorrow.	Je ne suis pas de garde, demain.
You're resilient.	Tu es tenace.
He's open and trusting.	Il est ouvert et confiant.
You're very flexible.	Tu es très flexible.
I'm not happy with this situation.	Je ne suis pas content de cette situation.
You are not supposed to smoke here.	Tu n'es pas censée fumer ici.
You're old.	Tu es vieille.
I'm glad I invited you.	Je suis heureux de vous avoir invitées.
He is just right for the job.	Il est parfait pour le poste.
I am thirsty.	J'ai soif.
You are not supposed to smoke here.	Tu n'es pas censé fumer ici.
He's waiting for you at home.	Il vous attend chez lui.
You're just a boy.	Tu n'es qu'un enfant.
We aren't related.	Nous ne sommes pas apparentées.
They're in danger.	Elles sont en danger.
I am shorter than you.	Je suis plus petite que vous.
He is fresh from college.	Il est frais émoulu de l'université.
He is my old friend.	C'est mon vieil ami.
I'm really disappointed.	Je suis vraiment déçu.
He is accustomed to speaking in public.	Il est habitué à parler en public.
We're ready for this.	Nous y sommes prêtes.
You're sneaky.	Tu es sournoise.
You're really selfish.	Vous êtes vraiment égoïste.
You're the reason I came.	C’est pour vous que je suis venue.
You're incredible.	Vous êtes incroyables.
She seems happy to be here.	Elle semble heureuse d'être ici.
You're just a kid.	Tu n'es qu'un enfant.
She smiled at him uneasily.	Elle lui a souri avec gêne.
I am a housewife.	Je suis femme au foyer.
You're talkative.	Vous êtes bavarde.
You're not a doctor.	Vous n’êtes pas un médecin.
I'm right behind him.	Je me trouve juste derrière lui.
She is knitting a sweater.	Elle tricote un pull.
You're totally ignorant.	Tu es complètement ignorante.
We are badly in want of water.	On a vraiment besoin d'eau.
I'm your new lawyer.	Je suis votre nouvel avocat.
I'm tired of arguing.	J'en ai assez de me disputer.
We're like family.	Nous formons en quelque sorte une famille.
He's in danger.	Il est en danger.
You're so impatient.	Vous êtes tellement impatiente.
I'm not worried about money.	Je ne suis pas inquiet pour l'argent.
